arXiv:1411.5027, Probing the Physical Conditions of Atomic Gas at High Redshift,
arXiv:1411.5030,Observational Cosmology With Semi-Relativistic Stars,
 arXiv:1411.5039 , Introduction to astroML: Machine Learning for Astrophysics 
 arXiv:1411.5018, Frequentism and Bayesianism: A Python-driven Primer 

